lat;lng;STREET TYPOLOGY;;
51.518749;-0.104176;pedestrian;;
51.51888;-0.104268;pedestrian;;
51.517148;-0.120056;pedestrian;;
51.517169;-0.119913;pedestrian;;
51.520392;-0.100495;pedestrian;;
51.52023;-0.100277;pedestrian;;
51.514979;-0.099646;pedestrian;;
51.514942;-0.100184;pedestrian;;
51.514906;-0.100722;pedestrian;;
51.528249;-0.124122;pedestrian;;
51.528338;-0.123425;pedestrian;;
51.518689;-0.143326;pedestrian;;
51.518762;-0.142961;pedestrian;;
51.513319;-0.103438;pedestrian;;
51.51332;-0.102938;pedestrian;;
51.513753;-0.103439;pedestrian;;
51.513346;-0.103438;pedestrian;;
51.513039;-0.103222;pedestrian;;
51.512726;-0.101312;pedestrian;;
51.512785;-0.101823;pedestrian;;
51.512834;-0.102338;pedestrian;;
51.512834;-0.102338;pedestrian;;
51.513239;-0.102278;pedestrian;;
51.512784;-0.101815;pedestrian;;
51.513039;-0.101776;pedestrian;;
51.513295;-0.101736;pedestrian;;
51.51275;-0.101495;pedestrian;;
51.51317;-0.101285;pedestrian;;
51.513725;-0.101566;pedestrian;;
51.513442;-0.101546;pedestrian;;
51.51326;-0.101177;pedestrian;;
51.512881;-0.09721;pedestrian;;
51.512625;-0.097347;pedestrian;;
51.519445;-0.109645;pedestrian;;
51.519482;-0.109164;pedestrian;;
51.519143;-0.136284;pedestrian;;
51.518914;-0.136034;pedestrian;;
51.518684;-0.135783;pedestrian;;
51.505502;-0.127662;pedestrian;;
51.505077;-0.127487;pedestrian;;
51.504745;-0.127388;pedestrian;;
51.504415;-0.12727;pedestrian;;
51.504045;-0.127104;pedestrian;;
51.503899;-0.127597;pedestrian;;
51.50386;-0.128298;pedestrian;;
51.503883;-0.128941;pedestrian;;
51.504314;-0.12908;pedestrian;;
51.504714;-0.129207;pedestrian;;
51.505142;-0.129359;pedestrian;;
51.505348;-0.128928;pedestrian;;
51.505412;-0.128258;pedestrian;;
51.515812;-0.103281;pedestrian;;
51.515882;-0.102665;pedestrian;;
51.515874;-0.102045;pedestrian;;
51.496513;-0.139594;pedestrian;;
51.496298;-0.139762;pedestrian;;
51.496171;-0.140202;pedestrian;;
51.496346;-0.140207;pedestrian;;
51.496669;-0.140371;pedestrian;;
51.496721;-0.13995;pedestrian;;
51.513216;-0.141937;pedestrian;;
51.51347;-0.142287;pedestrian;;
51.513806;-0.142435;pedestrian;;
51.515329;-0.141292;pedestrian;;
51.514996;-0.141066;pedestrian;;
51.514654;-0.14078;pedestrian;;
51.513521;-0.140417;pedestrian;;
51.51371;-0.139978;pedestrian;;
51.5138;-0.13945;pedestrian;;
51.514238;-0.139388;pedestrian;;
51.513661;-0.139421;pedestrian;;
51.513841;-0.138934;pedestrian;;
51.513267;-0.138377;pedestrian;;
51.513555;-0.138653;pedestrian;;
51.513841;-0.138934;pedestrian;;
51.513463;-0.13915;pedestrian;;
51.513646;-0.138742;pedestrian;;
51.513333;-0.139007;pedestrian;;
51.513496;-0.138596;pedestrian;;
51.512772;-0.139459;pedestrian;;
51.512941;-0.139117;pedestrian;;
51.513109;-0.138775;pedestrian;;
51.512628;-0.138797;pedestrian;;
51.51242;-0.138548;pedestrian;;
51.512212;-0.138299;pedestrian;;
