lat;lng;STREET TYPOLOGY;NUMBER OF AMENITIES;MAIN CATEGORY
48.860467;2.343611;pedestrian;0;NEED
48.860828;2.343801;pedestrian;0;NEED
48.861189;2.343995;pedestrian;0;NEED
48.86081;2.348619;pedestrian;0;NEED
48.861105;2.348793;pedestrian;0;NEED
48.8614;2.348967;pedestrian;0;NEED
48.862101;2.348281;pedestrian;0;NEED
48.86199;2.348749;pedestrian;0;NEED
48.861879;2.349217;pedestrian;0;NEED
48.858758;2.347447;pedestrian;0;NEED
48.858895;2.347644;pedestrian;0;NEED
48.866057;2.339862;pedestrian;0;NEED
48.866197;2.339265;pedestrian;0;NEED
48.866337;2.338668;pedestrian;0;NEED
48.867906;2.339535;pedestrian;0;NEED
48.868005;2.339085;pedestrian;0;NEED
48.868105;2.338635;pedestrian;0;NEED
48.868205;2.338185;pedestrian;0;NEED
48.8659;2.341388;pedestrian;0;NEED
48.8663;2.341267;pedestrian;0;NEED
48.86633;2.344437;pedestrian;0;NEED
48.866151;2.344062;pedestrian;0;NEED
48.865972;2.343687;pedestrian;0;NEED
48.865778;2.34333;pedestrian;0;NEED
48.865111;2.343826;pedestrian;0;NEED
48.865349;2.344295;pedestrian;0;NEED
48.865587;2.344764;pedestrian;0;NEED
48.864131;2.346572;pedestrian;0;NEED
48.864077;2.347063;pedestrian;0;NEED
48.864023;2.347553;pedestrian;0;NEED
48.862852;2.348;pedestrian;0;NEED
48.862843;2.348648;pedestrian;0;NEED
48.862515;2.347816;pedestrian;0;NEED
48.86236;2.348162;pedestrian;0;NEED
48.862471;2.348291;pedestrian;0;NEED
48.861021;2.347746;pedestrian;0;NEED
48.861424;2.347945;pedestrian;0;NEED
48.861826;2.348144;pedestrian;0;NEED
48.862229;2.348344;pedestrian;0;NEED
48.862631;2.348543;pedestrian;0;NEED
48.863034;2.348743;pedestrian;0;NEED
48.863436;2.348942;pedestrian;0;NEED
48.863839;2.349142;pedestrian;0;NEED
48.863465;2.348206;pedestrian;0;NEED
48.863316;2.348824;pedestrian;0;NEED
48.863177;2.349448;pedestrian;0;NEED
48.863049;2.350077;pedestrian;0;NEED
48.86293;2.350711;pedestrian;0;NEED
48.866344;2.347153;pedestrian;0;NEED
48.866445;2.346584;pedestrian;0;NEED
48.866545;2.346014;pedestrian;0;NEED
48.866645;2.345445;pedestrian;0;NEED
48.866694;2.344865;pedestrian;0;NEED
48.866697;2.344276;pedestrian;0;NEED
48.866207;2.344492;pedestrian;0;NEED
48.866114;2.345131;pedestrian;0;NEED
48.866022;2.345771;pedestrian;0;NEED
48.865937;2.346412;pedestrian;0;NEED
48.865858;2.347056;pedestrian;0;NEED
48.865533;2.346991;pedestrian;0;NEED
48.865601;2.34641;pedestrian;0;NEED
48.86567;2.345829;pedestrian;0;NEED
48.865739;2.345248;pedestrian;0;NEED
48.865808;2.344667;pedestrian;0;NEED
48.86469;2.348377;pedestrian;0;NEED
48.864961;2.348498;pedestrian;0;NEED
48.86535;2.34872;pedestrian;0;NEED
48.865713;2.348877;pedestrian;0;NEED
48.866075;2.349039;pedestrian;0;NEED
48.866434;2.349216;pedestrian;0;NEED
48.866793;2.349393;pedestrian;0;NEED
48.864961;2.348498;pedestrian;0;NEED
48.865008;2.347961;pedestrian;0;NEED
48.865055;2.347423;pedestrian;0;NEED
48.865124;2.346891;pedestrian;0;NEED
48.864207;2.35058;pedestrian;0;NEED
48.864297;2.350143;pedestrian;0;NEED
48.864738;2.347781;pedestrian;0;NEED
48.864472;2.347695;pedestrian;0;NEED
48.864206;2.347605;pedestrian;0;NEED
48.869142;2.304488;pedestrian;0;NEED
48.868911;2.304796;pedestrian;0;NEED
48.86868;2.305104;pedestrian;0;NEED
48.859915;2.328155;pedestrian;0;NEED
48.860028;2.328089;pedestrian;0;NEED
48.866748;2.354231;pedestrian;0;NEED
48.866888;2.353611;pedestrian;0;NEED
48.867028;2.35299;pedestrian;0;NEED
48.849119;2.346632;pedestrian;0;NEED
48.849285;2.346759;pedestrian;0;NEED
48.878561;2.295867;pedestrian;0;NEED
48.878784;2.295618;pedestrian;0;NEED
48.879007;2.295369;pedestrian;0;NEED
48.878358;2.295481;pedestrian;0;NEED
48.878599;2.295942;pedestrian;0;NEED
48.878838;2.296407;pedestrian;0;NEED
48.879076;2.296872;pedestrian;0;NEED
48.846825;2.347832;pedestrian;0;NEED
48.846681;2.348372;pedestrian;0;NEED
48.84661;2.348973;pedestrian;0;NEED
48.848695;2.347366;pedestrian;0;NEED
48.8486;2.347955;pedestrian;0;NEED
48.854694;2.347757;pedestrian;0;NEED
48.854855;2.347289;pedestrian;0;NEED
48.855016;2.34682;pedestrian;0;NEED
48.855176;2.346351;pedestrian;0;NEED
48.855336;2.345881;pedestrian;0;NEED
48.859154;2.34975;pedestrian;0;NEED
48.858875;2.349547;pedestrian;0;NEED
48.858597;2.349343;pedestrian;0;NEED
48.858998;2.350233;pedestrian;0;NEED
48.858805;2.350796;pedestrian;0;NEED
48.858571;2.35132;pedestrian;0;NEED
48.85837;2.351877;pedestrian;0;NEED
48.86052;2.349447;pedestrian;0;NEED
48.860414;2.34993;pedestrian;0;NEED
48.860291;2.350408;pedestrian;0;NEED
48.860168;2.350885;pedestrian;0;NEED
48.859355;2.350458;pedestrian;0;NEED
48.85918;2.351045;pedestrian;0;NEED
48.858957;2.351589;pedestrian;0;NEED
48.858957;2.351589;pedestrian;0;NEED
48.858601;2.351235;pedestrian;0;NEED
48.859754;2.351968;pedestrian;0;NEED
48.859403;2.35169;pedestrian;0;NEED
48.859052;2.351412;pedestrian;0;NEED
48.860168;2.350885;pedestrian;0;NEED
48.860537;2.351093;pedestrian;0;NEED
48.860906;2.351301;pedestrian;0;NEED
48.861278;2.35149;pedestrian;0;NEED
48.861653;2.35167;pedestrian;0;NEED
48.854308;2.355933;pedestrian;0;NEED
48.854655;2.356244;pedestrian;0;NEED
48.85497;2.356624;pedestrian;0;NEED
48.855265;2.357033;pedestrian;0;NEED
48.855584;2.357407;pedestrian;0;NEED
48.854317;2.359789;pedestrian;0;NEED
48.854394;2.359164;pedestrian;0;NEED
48.853401;2.359375;pedestrian;0;NEED
48.853693;2.359593;pedestrian;0;NEED
48.853994;2.359786;pedestrian;0;NEED
48.854297;2.359972;pedestrian;0;NEED
48.855351;2.35959;pedestrian;0;NEED
48.855247;2.360163;pedestrian;0;NEED
48.855142;2.360737;pedestrian;0;NEED
48.855028;2.361306;pedestrian;0;NEED
48.854887;2.361862;pedestrian;0;NEED
48.857964;2.352997;pedestrian;0;NEED
48.858281;2.353225;pedestrian;0;NEED
48.859017;2.353702;pedestrian;0;NEED
48.859197;2.353318;pedestrian;0;NEED
48.859369;2.352927;pedestrian;0;NEED
48.859558;2.352598;pedestrian;0;NEED
48.858446;2.358463;pedestrian;0;NEED
48.858264;2.358739;pedestrian;0;NEED
48.858083;2.359015;pedestrian;0;NEED
48.860481;2.361725;pedestrian;0;NEED
48.860251;2.362091;pedestrian;0;NEED
48.86002;2.362456;pedestrian;0;NEED
48.859791;2.362822;pedestrian;0;NEED
48.858262;2.356045;pedestrian;0;NEED
48.85787;2.355788;pedestrian;0;NEED
48.857481;2.355523;pedestrian;0;NEED
48.857096;2.355241;pedestrian;0;NEED
48.870676;2.347892;pedestrian;0;NEED
48.870387;2.347901;pedestrian;0;NEED
48.870095;2.347869;pedestrian;0;NEED
48.870384;2.340889;pedestrian;0;NEED
48.870332;2.34143;pedestrian;0;NEED
48.870276;2.341971;pedestrian;0;NEED
48.87021;2.342509;pedestrian;0;NEED
48.86845;2.347678;pedestrian;0;NEED
48.868165;2.347528;pedestrian;0;NEED
48.867879;2.347382;pedestrian;0;NEED
48.870348;2.341262;pedestrian;0;NEED
48.870011;2.341169;pedestrian;0;NEED
48.848873;2.312706;pedestrian;0;NEED
48.849002;2.313276;pedestrian;0;NEED
48.849132;2.313846;pedestrian;0;NEED
48.872235;2.329169;pedestrian;0;NEED
48.871826;2.329089;pedestrian;0;NEED
48.825943;2.269569;pedestrian;0;NEED
48.826294;2.269175;pedestrian;0;NEED
48.826647;2.268782;pedestrian;0;NEED
48.827;2.26839;pedestrian;0;NEED
48.827352;2.267997;pedestrian;0;NEED
48.827718;2.267638;pedestrian;0;NEED
48.825763;2.27836;pedestrian;0;NEED
48.826096;2.278426;pedestrian;0;NEED
48.82643;2.278466;pedestrian;0;NEED
48.873827;2.30845;pedestrian;0;NEED
48.874076;2.308845;pedestrian;0;NEED
48.874324;2.30924;pedestrian;0;NEED
48.874572;2.309636;pedestrian;0;NEED
48.878456;2.306254;pedestrian;0;NEED
48.878614;2.306617;pedestrian;0;NEED
48.878194;2.309901;pedestrian;0;NEED
48.878556;2.309664;pedestrian;0;NEED
48.878921;2.30944;pedestrian;0;NEED
48.879302;2.30929;pedestrian;0;NEED
48.879691;2.3092;pedestrian;0;NEED
48.880082;2.309122;pedestrian;0;NEED
48.880426;2.309238;pedestrian;0;NEED
48.861146;2.377814;pedestrian;0;NEED
48.861304;2.378196;pedestrian;0;NEED
48.861461;2.378578;pedestrian;0;NEED
48.871966;2.290755;pedestrian;0;NEED
48.871734;2.291053;pedestrian;0;NEED
48.868899;2.280031;pedestrian;0;NEED
48.868704;2.279579;pedestrian;0;NEED
48.868508;2.279128;pedestrian;0;NEED
48.868436;2.278671;pedestrian;0;NEED
48.857299;2.302035;pedestrian;0;NEED
48.857366;2.302592;pedestrian;0;NEED
48.856963;2.302877;pedestrian;0;NEED
48.85656;2.303161;pedestrian;0;NEED
48.841994;2.31488;pedestrian;0;NEED
48.84221;2.314751;pedestrian;0;NEED
48.842425;2.314622;pedestrian;0;NEED
48.831435;2.326962;pedestrian;0;NEED
48.831725;2.327191;pedestrian;0;NEED
48.832015;2.32742;pedestrian;0;NEED
48.835287;2.315827;pedestrian;0;NEED
48.835386;2.316249;pedestrian;0;NEED
48.835486;2.316671;pedestrian;0;NEED
48.832026;2.324699;pedestrian;0;NEED
48.832183;2.324171;pedestrian;0;NEED
48.83234;2.323641;pedestrian;0;NEED
48.832497;2.323112;pedestrian;0;NEED
48.838265;2.330972;pedestrian;0;NEED
48.838552;2.331419;pedestrian;0;NEED
48.83885;2.33185;pedestrian;0;NEED
48.839147;2.332282;pedestrian;0;NEED
48.839441;2.332026;pedestrian;0;NEED
48.839097;2.38055;pedestrian;0;NEED
48.839194;2.380706;pedestrian;0;NEED
48.893388;2.3427;pedestrian;0;NEED
48.893121;2.342325;pedestrian;0;NEED
48.892853;2.341949;pedestrian;0;NEED
48.890377;2.335559;pedestrian;0;NEED
48.890615;2.335633;pedestrian;0;NEED
48.890846;2.335742;pedestrian;0;NEED
48.895096;2.348074;pedestrian;0;NEED
48.895005;2.348523;pedestrian;0;NEED
48.894913;2.348973;pedestrian;0;NEED
48.894821;2.349423;pedestrian;0;NEED
48.880399;2.292732;pedestrian;0;NEED
48.880651;2.292432;pedestrian;0;NEED
48.880904;2.292133;pedestrian;0;NEED
48.887545;2.296697;pedestrian;0;NEED
48.887836;2.297097;pedestrian;0;NEED
48.888121;2.297508;pedestrian;0;NEED
48.888622;2.29839;pedestrian;0;NEED
48.88888;2.298944;pedestrian;0;NEED
48.888366;2.299023;pedestrian;0;NEED
48.888559;2.299331;pedestrian;0;NEED
48.889451;2.299135;pedestrian;0;NEED
48.889262;2.299347;pedestrian;0;NEED
48.889074;2.29956;pedestrian;0;NEED
48.889685;2.29963;pedestrian;0;NEED
48.889496;2.299839;pedestrian;0;NEED
48.889309;2.30005;pedestrian;0;NEED
48.888629;2.300819;pedestrian;0;NEED
48.888846;2.30058;pedestrian;0;NEED
48.889058;2.300333;pedestrian;0;NEED
48.88685;2.31729;pedestrian;0;NEED
48.886615;2.317655;pedestrian;0;NEED
48.88638;2.31802;pedestrian;0;NEED
48.883598;2.323889;pedestrian;0;NEED
48.883314;2.324025;pedestrian;0;NEED
48.883043;2.324048;pedestrian;0;NEED
48.886834;2.295414;pedestrian;0;NEED
48.887031;2.295773;pedestrian;0;NEED
48.887228;2.296132;pedestrian;0;NEED
